OTU001	P1396
OTU001	P1572
OTU001	P1866
OTU001	P2785
OTU001	P2793
OTU001	P1850
OTU001	P1900
OTU001	P2792
OTU001	P2646
OTU001	P2851
OTU001	P2867
OTU001	P1313
OTU001	P2775
OTU001	P2450
OTU001	P1442
OTU001	P2739
OTU001	P1450
OTU001	P2962
OTU001	P1686
OTU001	P2816
OTU001	P2832
OTU001	P2810
OTU001	P1451
OTU001	P1944
OTU001	P2828
OTU001	P2925
OTU001	P6081
OTU001	P2932
OTU002	P2509
OTU002	P2535
OTU002	P6112
OTU002	P2515
OTU002	P2485
OTU002	P2510
OTU002	P2514
OTU002	P2477
OTU002	P2010
OTU002	P2511
OTU002	P6101
OTU002	P2500
OTU002	P6033
OTU003	P1854
OTU003	P2118
OTU003	P1924
OTU003	P1959
OTU003	P2966
OTU003	P1973
OTU003	P1940
OTU003	P2482
OTU004	P1101
OTU004	P2166
OTU004	P2414
OTU004	P1963
OTU004	P1751
OTU004	P1992
OTU004	P1978
OTU005	P1772
OTU005	P2298
OTU005	P2641
OTU005	P6089
OTU005	P1950
OTU005	P1331
OTU006	P1518
OTU006	P1823
OTU006	P2323
OTU006	P6045
OTU006	P6077
OTU007	P1582
OTU007	P2262
OTU007	P2020
OTU007	P2418
OTU008	P1281
OTU008	P1280
OTU009	P1344
OTU009	P1348
OTU010	P1381
OTU010	P2092
OTU011	P2437
OTU011	P2440
OTU012	P1935
OTU012	P1993
OTU013	P2475
OTU013	P2787
OTU014	P2820
OTU015	P1162
OTU016	P1893
OTU017	P1615
OTU018	P1443
OTU019	P1749
OTU020	P1984
OTU021	P2794
OTU022	P1909
OTU023	P1037
OTU024	P6587
OTU025	P1180
OTU026	P1323
OTU027	P1974
OTU028	P2973
OTU029	P1176
OTU030	P2766
OTU031	P2995
OTU032	P2899
