group;kingdom;phylum;class;order;family;genus;species
OTU01;64;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Cadophora;Cadophora_unclassified
OTU02;13;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Helotiales_fam_Incertae_sedis_unclassified;Helotiales_fam_Incertae_sedis_unclassified
OTU03;4;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Leohumicola;Leohumicola_unclassified
OTU04;2;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Rhexocercosporidium;Rhexocercosporidium_panacis
OTU05;2;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Scytalidium;Scytalidium_circinatum
OTU06;2;Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified
OTU07;2;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Cadophora;Cadophora_unclassified
OTU08;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Cistella;Cistella_albidolutea
OTU09;1;Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified
OTU10;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Helotiales_fam_Incertae_sedis_unclassified;Helotiales_fam_Incertae_sedis_unclassified
OTU11;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Cadophora;Cadophora_unclassified
OTU12;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Helotiales_fam_Incertae_sedis_unclassified;Helotiales_fam_Incertae_sedis_unclassified
OTU13;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Helotiales_fam_Incertae_sedis_unclassified;Helotiales_fam_Incertae_sedis_unclassified
OTU14;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus;Hymenoscyphus_menthae
OTU15;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Cadophora;Cadophora_unclassified
OTU16;1;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Cadophora;Cadophora_unclassified
OTU17;1;Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified
